lat,lon,time,stop,next_stop,elapsed,time_Seconds,round_trip
18.4039813,-66.0463734,8:42:35,5.0,6.0,,31355.0,
18.4041047,-66.0484892,8:43:13,6.0,13.0,38.0,31393.0,
18.4042011,-66.0499032,8:43:56,13.0,24.0,43.0,31436.0,
18.4051224,-66.050338,8:44:52,24.0,23.0,56.0,31492.0,
18.4061803,-66.0502588,8:45:22,23.0,20.0,30.0,31522.0,
18.4071939,-66.0495427,8:45:59,20.0,19.0,37.0,31559.0,
18.4067207,-66.0490004,8:46:16,20.0,19.0,17.0,31576.0,
18.406061,-66.0481042,8:46:47,9.0,10.0,31.0,31607.0,
18.406627,-66.046957,8:47:16,10.0,11.0,29.0,31636.0,
18.4060234,-66.0449512,8:48:3,11.0,2.1,47.0,31683.0,
18.4061764,-66.0431609,8:48:48,2.1,1.0,45.0,31728.0,
18.4073641,-66.0431936,8:50:24,2.1,1.0,96.0,31824.0,
18.4063222,-66.0430162,8:55:20,2.1,1.0,296.0,32120.0,
18.4049889,-66.0450658,8:58:26,3.0,4.0,186.0,32306.0,
18.4037657,-66.0455475,9:0:26,4.0,5.0,120.0,32426.0,
18.4041105,-66.0465002,9:0:54,5.0,6.0,28.0,32454.0,1099.0
18.4042036,-66.0481047,9:1:31,6.0,13.0,37.0,32491.0,1098.0
18.4036496,-66.0499647,9:2:19,13.0,24.0,48.0,32539.0,1103.0
18.4047482,-66.0503636,9:3:9,24.0,23.0,50.0,32589.0,1097.0
18.4065476,-66.0497879,9:3:40,23.0,20.0,31.0,32620.0,1098.0
18.4071206,-66.0494932,9:4:1,20.0,19.0,21.0,32641.0,1065.0
18.4066019,-66.0489905,9:4:15,19.0,9.0,14.0,32655.0,
18.4059816,-66.0480143,9:5:2,9.0,10.0,47.0,32702.0,1095.0
18.4069452,-66.0471494,9:5:38,10.0,11.0,36.0,32738.0,1102.0
18.4059095,-66.0449555,9:6:17,11.0,2.1,39.0,32777.0,1094.0
